"Advanced configuration","Configuration avancée"
"PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi","PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi"
"PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi","PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi"
"La Poste Colissimo","La Poste Colissimo"
"La Poste Colissimo Advanced Setup","La Poste Colissimo Configuration Avancée"
"General configuration","Configuration générale"
ID,ID
"ID of your account for La Poste webservices","Identifiant de votre compte pour les webservices La Poste"
"Password","Mot de passe"
"Password to connect to La Poste webservices and use the module","Mot de passe pour se connecter aux webservies de La Poste et utiliser le module"
Labels,Etiquettes
"Outward label print format","Format d'impression des étiquettes aller"
"Return label print format","Format d'impression des étiquettes retour"
(none),(aucun)
R1,R1
R2,R2
R3,R3
"Delegates label generation to ColiShip?","Déléguer la generation des étiquettes à ColiShip ?"
"If enabled, this module will not automatically generate label for each Colissimo shipment.","Si activé, ce module ne générera pas d'étiquette pour les livraisons Colissimo."
"Order status after label generation","Statut des commandes après generation de l'étiquette."
"Order status to apply after successful label generation.","Statut de la commande à appliquer après génération d'une étiquette."
"Use cash on delivery?","Utiliser le Contre-Remboursement ?"
"If enabled, each label generation will use cash on delivery feature by default.","Si activé, les étiquettes automatiquement générées utiliseront le mode Contre-Remboursement."
"Use Colissimo Insurance?","Utiliser l'assurance Colissimo ?"
"If enabled, each label generation will use Colissimo Insurance feature by default.","Si activé, les étiquettes automatiquement générées utiliseront l'assurance Colissimo."
"Average preparation delay","Délai moyen de préparation"
"Your average delay for preparation of a shipment, in days.","Votre délai moyen de préparation d'une livraison, en jours."
"Registered mail level","Niveau de recommandation"
"Use Customs Declarations?","Générer la déclaration douanes (CN23) ?"
"If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default.","Si actif, chaque étiquette le nécessitant sera accompagné du formulaire CN23 correspondant."
"Check IDs","Vérifier les identifiants"
"Bad credentials.","Les identifiants ne sont pas corrects."
"Credentials are valid.","Les identifiants sont corrects."
"ID validation","Validation des identifiants"
"Check that IDs are valid.","Vérifie que les identifiants sont corrects."
"Automatically create return label at the same time as the outward label", "Créer automatiquement l'étiquette de retour lors de la génération de l'étiquette aller"
"If you don't activate this option, you can still manually create return labels on order shipping page", "Si vous n'activez pas cette option, vous pouvez toujours créer des étiquettes de retour sur la page d'expédition de la commande"
"Show service information on return label", "Afficher le nom du service de retour sur l'étiquette de retour"
"Service information", "Nom du service de retour"
"Show order reference on return label", "Afficher le numéro de commande sur l'étiquette de retour"
"Area","Zone"
"Cart weight/price starting from","Poids/prix panier à partir de"
"Price","Prix"
"Configure the shipment prices to apply for each destination and cart weight / price you want to enable","Configurez les prix de livraison à appliquer par destination et tranche de poids / prix du panier que vous voulez activer"
"Colissimo Domicile without signature","Colissimo Domicile sans signature"
"Colissimo Domicile with signature","Colissimo Domicile avec signature"
"Colissimo Point Retrait","Colissimo Point Retrait"
"Colissimo Expert","Colissimo Expert"
"Enable the Colissimo Domicile without signature mode","Activer la méthode Colissimo Domicile sans signature"
"Enable the Colissimo Domicile with signature mode","Activer la méthode Colissimo Domicile avec signature"
"Enable the Colissimo Point Retrait mode","Activer la méthode Colissimo Point Retrait"
"Enable the Colissimo Expert mode","Activer la méthode Colissimo Expert"
"Setup","Configuration"
"Name","Nom"
"New slice","Nouvelle tranche"
"Return labels","Etiquettes de retour"
"Yes","Oui"
"No","Non"
"Order","Commande"
"Order Date","Date de la commande"
"Purchased From","Acheté sur"
"Customer","Client"
"Street","Rue"
"Post Code","Code postal"
"City","Ville"
"Country","Pays"
"Reference","Référence"
"Shipping Description","Méthode de livraison"
"Unknown status: %1","Statut inconnu : %1"
"Tracking number","Etiquette"
"Update Colissimo Statuses","Mettre à jour les statuts Colissimo"
"Show internationals Relay Points", "Afficher les points relais à l'international"
"Web service returns 0 relay" , "Le web service n'a pas retourné de point relai"
"No relay available", "Pas de point relais disponible"
"Zipcode required to get relay points", "Le code postal est requis pour les points relais"
"The international option can't be enable if the country destination is France", "L'option international ne peut être activée si le pays de destination est la France"
"Shipping date required to get relay points", "La date d'expédition est requise pour les points relais"
"Country code required to get relay points", "Le code pays est requis pour les points relais"
"City required to get relay points", "La ville est requise pour les points relais"
"At", "À"
"Choose", "Choisir"
"Search", "Chercher"
"Zipcode", "Code postal"
"Address", "Adresse"
"Free shipping","Livraison gratuite"
"Should the shipping method be free","Activer la gratuité pour la méthode de livraison"
"All statuses where updated","Tous les statuts ont étés mis à jour"
"Some status were not correctly updated. Check logs for more details.","Certains statuts n'ont pas pu être mis à jour. Voir les logs pour plus de détails."
"Tracking information for order","Information de suivis de la commande"
"Shipping method:","Méthode de livraison :"
"Change your shipping information and options","Modifier votre livraison"
"Parcel","Colis"
"Status Date","Date du statut"
"Status","Statut"
"Details","Détails"
"Print outward label","Imprimer l'étiquette aller"
"Point retrait","Point retrait"
"Display mode","Mode d'affichage"
"Choose between the standard display mode from Colissimo (Widget) and the customizable one (Webservice)","Choisissez entre le mode d'affichage standard de Colissimo (Widget) et le mode customisable (Webservice)"
"Address fields text color","Couleur des textes des champs de l'adresse"
"Pickup point list text color","Couleur des textes de la liste des points retraits"
"Font","Police"
"Font for texts inside the widget","Police pour les textes dans le widget de points retraits"
"Widget URL","URL du widget"
"URL used to call the widget displaying pick-up points selection. Don't change it unsless asked from Colissimo support. Default value : https://ws.colissimo.fr/widget-point-retrait/resources/js/jquery.plugin.colissimo.min.js","URL utilisée pour appeler le widget d'affichage des points retraits. Ne la changer que sur demande du support Colissimo. Valeur par défaut : https://ws.colissimo.fr/widget-point-retrait/resources/js/jquery.plugin.colissimo.min.js"
"Debug and Development","Debug et Développement"
"Debug Mode","Mode Debug"
"This option should only be activated shortly to debug this module.","Cette option ne doit être activée que pour une courte période, pour obtenir plus d'information dans les journaux (log) pour ce module."
"Log information lifetime (days)","Durée de vie des journaux (jours)"
"Delay before deleting log information. Use 0 or leave empty to disable.","Délai avant suppression des journaux. Utilisez 0 ou laissez vide pour désactiver."
"See last logs","Voir les derniers logs"
"Shipments","Envois"
"Print inward label","Imprimer l'étiquette retour"
"While generating label for shipment #%1: ","Pendant le génération de l'étiquette pour la livraison #%1: "
"Inward shipping labels have been generated.","Les étiquettes ont été générées."
"Order status to generate label","Statut des commandes pour génération des étiquettes"
"Order status where a label can be generated.","Statut des commandes à partir duquel les étiquettes peuvent être générées."
"Order status after giving parcel to carrier","Statut des commandes après remise du colis au transporteur"
"Order status to apply when the parcel has been delivered to the carrier.","Statut des commandes à appliquer une fois que le colis a été remis au transporteur."
"Generate Outward Shipping Labels","Générer l'étiquette aller"
"Generate Inward Shipping Labels","Générer l'étiquette retour"
"MailBox picking return","Dépot de colis retour en boîte aux lettres"
"Address from which the return will be from:", "Adresse depuis laquelle le retour sera fait :"
"Allow MailBox Pickup","Autoriser les retours en boîte aux lettres"
"Check that this address is allowed for MailBox picking return", "Verifier que cette adresse est éligible au retour en boîte aux lettres."
"Confirm Pick-Up", "Confirmer l'enlevement dans ma boîte aux lettres"
"MailBox pick-up","Enlevement dans ma boîte aux lettres"
"Only France is allowed", "Seule la France est autorisée"
"Please confirm before today %s that you will put the parcel in the MailBox described previously, before %s at %s.", "Merci de confirmer avant aujourd'hui %s que vous déposerez le colis dans la boîte aux lettres décrite ci-dessus, avant le %s à %s."
"Retrieval address", "Adresse de retour"
"This address is not eligible for MailBox pick-up.", "Cette adresse n'est pas éligible au retour en boîte aux lettres."
"When activated, customers will be allowed to automatically create return labels and use them to return the parcel from their MailBox.","Quand activé, les clients pourront créer automatiquement leur étiquette de retour et les utiliser pour renvoyer leur colis depuis leur boîte aux lettres."
"You may change the address the return will be made from via the following fields:", "Vous pouvez changer l'adresse depuis laquelle le retour sera envoyé via les champs suivants :"
"Your shipment was initially sent to the following address:", "Votre colis a été initialement envoyé à cette adresse :"
"Error during IDs checking", "Erreur durant la vérification des identifiants"
"An error occured while confirming this pick-up!","Une erreur est survenue pendant la confirmation de ce retour en boîte aux lettres !"
"An error occured while generating the return tracking number!","Une erreur est survenue pendant la génération du numéro de suivi du colis de retour !"
"Modify my relay","Modifier mon point relai"
"Confirm relay","Confirmer le point relai"
"Do you confirm the shipment to this relay:","Confirmez-vous la livraison à ce point relai :"
"Please choose a relay for this shipping method","Veuillez choisir un point relai pour cette méthode de livraison"
"Choose this relay","Choisir ce point relai"
"If enabled, you can customize font and font color of the Colissimo widget","Si activé, vous pouvez personnaliser la police ainsi que la couleur de police du widget Colissimo"
"Customize widget","Personnalisation du widget"
"The window to choose your pickup point is currently unavailable. Please refresh the page and try again. If the problem persists, please contact the website administrator.","La fenêtre de choix du point relais est actuellement indisponible. Merci de recharger la page et de réessayer. Si le problème persiste, merci de contacter l'administrateur du site."
"Colissimo relay","Relais Colissimo"
"Generate a Delivery docket","Générer un Bordereau de remise"
"Bordereaux","Bordereaux"
"Bordereau Number","Numéro de bordereau"
"Code Site PCH","Code Site PCH"
"Number of parcels","Nombre de colis"
"Parcels Numbers","Numéros des colis"
"Download Bordereau","Télécharger le Bordereau"
"Publishing date","Date de génération"
"Unable to generate delivery docket","Impossible de générer le borderau de remise"
"Delivery docket has been generated.","Le bordereau de remise a été généré."
"Bad output format","Mauvais format de retour"
"Weight cannot be negative!","Les poids ne peut être négatif !"
"RecommendationLevel and InsuranceValue are mutually incompatible.","L'assurance Colissimo et le niveau de recommandation sont mutuellement incompatible."
"Bad recommendation level","Mauvais niveau de recommendation."
"The ProductCode used requires that a pickupLocationId is set!","Le Code produit utilisé requiert qu'un pickupLocationId soit valué."
"The ProductCode used requires that a pickupLocationId is *not* set!","Le Code produit utilisé requiert que le prickupLocationId ne soit *pas* valué !"
"The ProductCode used requires that a commercialName is set!","Le Code produit utilisé requiert qu'un commercialName soit valué !"
"companyName must be set in Sender address!","companyName doit être valué dans l'adresse de l'expéditeur !"
"line2 must be set in Sender address!","line2 doit être valué dans l'adresse de l'expéditeur !"
"countryCode must be set in Sender address!","countryCode doit être valué dans l'adresse de l'expéditeur !"
"zipCode must be set in Sender address!","zipCode doit être valué dans l'adresse de l'expéditeur !"
"city must be set in Sender address!","city doit être valué dans l'adresse de l'expéditeur !"
"companyName or (firstName + lastName) must be set in Addressee address!","companyName ou (firstName + lastName) doit être valué dans l'adresse de destinataire !"
"companyName must be set in Addressee address for return label!","companyName doit être valué dans l'adresse de destinataire pour les étiquettes de retour !"
"line2 must be set in Addressee address!","line2 doit être valué dans l'adresse de destinataire !"
"countryCode must be set in Addressee address!","countryCode doit être valué dans l'adresse de destinataire !"
"zipCode must be set in Addressee address!","zipCode doit être valué dans l'adresse de destinataire !"
"city must be set in Addressee address!","city doit être valué dans l'adresse de destinataire !"
"Status history","Historique des statuts"
"Anomaly","Anomalie"
"Colissimo","Colissimo"
"ColiShip","ColiShip"
"Generate ColiShip export","Générer l'export ColiShip"
"ColiShip export functionalities are only available when ColiShip is used in the configuration.","Les fonctionnalités d'export pour ColiShip ne sont utilisables que lorsque ColiShip est activé dans la configuration."
"File missing or wrong format (CSV expected)", "Fichier manquant ou mauvais format (CSV attendu)"
"Import is done", "Import terminé"
"An error occured during import", "Une erreur est survenue lors de l'import "
"Only CSV files are accepted", "Seuls les fichiers CSV sont acceptés"
"Import ColiShip File", "Importer le fichier ColiShip"
"The following line does not have the correct fields", "La ligne suivante n'a pas les bons champs"
"Cannot create shipment for order", "Impossible de créer d'expédition pour cette commande"
"Current situation dashboard","Tableau de bord de situation actuelle"
"Colissimo current situation dashboard","Tableau de bord de situation actuelle Colissimo"
"To ship","A expédier"
"Shipment","Colis"
"Bordereau association","Association avec un borderau"
"Any","Tous"
"Only in a bordereau","Uniquement si dans un bordereau"
"Only *not* in a bordereau","Uniquement si *pas* dans un bordereau"
"Without label","Sans étiquette"
"Only with label","Uniquement avec une étiquette"
"Only without label","Uniquement sans étiquette"
"View Order","Voir la commande"
"View Shipment","Voir le colis"
"Print label","Imprimer l'étiquette"
"Only in anomaly","Uniquement en anomalie"
"Only to print","Uniquement à imprimer"
"Number of days to consider a return label for purging (days)","Nombre de jours pour la purge des étiquettes de retours (jours)"
"Delay before deleting return label BLOB from database. Use 0 or leave empty to disable this purge.","Période après laquelle une purge supprimera le BLOB de l'étiquette de retour de la base de données. Utiliser 0 ou laisser vide pour désactiver cette purge."
"Print return label","Imprimer l'étiquette de retour"
"Label creation is available to client", "Création d'étiquette de retour disponible au client"
"Your order is being prepared and will soon be taken care of for shipping.","Votre commande est en cours de préparation et sera bientôt prise en charge pour expédition."
"You can check your order status <a href=""%trackinglink"" target=""_blank"">here</a>.","Vous pouvez suivre le statut de votre commande <a href=""%trackinglink"" target=""_blank"">ici</a>."
"%storename order status change","Changement du statut de commande sur %storename"
"Send tracking email","Envoi du mail de suivi"
"Send the tracking link in an email to customer on label generation.","Envoi du lien de suivi de commande par email à la génération de l'étiquette."
"Dashboard","Tableau de bord"
"Default HS code","Code SH par défaut"
"Default customs Category","Catégorie de nature des envois"
"Define the nature of the shipment","Indique la nature de l'envoi (pour les envois internationaux ou vers l'outre-mer soumis à la déclaration CN23)"
"Other","Autre"
"Gift","Cadeau"
"Commercial sample","Echantillon commercial"
"Commercial shipment","Envoi commercial"
"Document","Document"
"Send return label email", "Envoi du mail avec l'étiquette de retour"
"Send label in an email to customer on return label generation.", "Envoi de l'étiquette en pièce jointe par email à la génération de l'étiquette de retour"
"You can find the outward label for this order attached to this email.", "Vous pouvez trouver l'étiquette de retour de cette commande en pièce jointe de cet e-mail."
"Email inward label", "Envoyer l'étiquette retour par e-mail"
"Return label was sent", "L'étiquette retour a bien été envoyée"
"Please generate return label", "Veuillez générer l'étiquette retour"
"Shipment not found", "Livraison introuvable"
"Are parcels free of taxes and fees?","Colis franc de taxes et de droits ?"
"For french overseas destinations only (except St-Pierre-et-Miquelon)","Pour les DOM-TOM uniquement (sauf St-Pierre-et-Miquelon)"
"Generate bordereau","Générer un bordereau"
"You can scan the labels. Once finished, you can submit to generate your bordereau.","Vous pouvez scanner les étiquettes. Une fois fini, validez pour générer le bordereau."
"Reset","Réinitialiser"
"Remove last code","Supprimer le dernier code"
"Bordereau via scan","Bordereau par scan"
"Code added to list: ","Code ajouté à la liste : "
"Wrong data, code not added: ","Donnée incorrecte, code non ajouté : "
"Code removed: ","Code supprimé : "
" (see logs for details)"," (consulter le log pour voir plus de détails)"
"wrong data selected","mauvaises données sélectionnées"
"Access Colissimo Box","Accéder à Colissimo Box"
"An error occurred during printing", "Une erreur est survenue durant l'impression"
"Parameters are incorrect.", "Les paramètres sont incorrects"
"Cannot print label before generation.","L'étiquette ne peut pas être imprimée avant d'avoir été générée?"
"Download inward label", "Télécharger l'étiquette retour"
"Download outward label", "Télécharger l'étiquette aller"
"An error occurred during download", "Une erreur est survenue durant le téléchargement"
"Download shipment related information", "Télécharger les informations liées à la livraison"
"Longer than 3 days","Plus de 3 jours"
"In transit","Pris en charge"
"Unknow status","Statut inconnu"
"No status","Pas de statut"
"Please generate label", "Veuillez générer l'étiquette"
"Download label","Télécharger l'étiquette"
"Invoice missing for order #%1 to create label","Facture manquante sur la commande #%1 pour générer l'étiquette"
"There must be only one invoice on order #%1 to create return label with CN23.","Il ne doit y avoir qu'une seule facture sur la commande #%1 pour créer l'étiquette de retour avec CN23"
"Not allowed for this destination","Non authorisé pour cette destination"
"Canary Islands","Îles Canaries"
"Please generate inward label","Veuillez générer l'étiquette retour"
"Google Maps API Key","Clé d'API Google Maps"
"This key is needed to display the selection map","Cette clé est nécessaire pour afficher la carte de sélection des points retraits"
"no change","Aucun changement"
"Download example of FMT file","Télécharger un exemple de fichier FMT"
"Retrieve an example of Colissimo FMT file.","Récupérer un exemple de fichier FMT Colissimo."
"Check","Vérifier"
"Check widget URL","Vérifier l'URL du widget"
"Check the widget URL is valid and working","Vérifier que l'URL du widget est valide et fonctionnelle"
"URL is valid","L'URL est valide"
"Error calling URL:","Erreur lors de l'appel de l'URL :"
"No URL saved.","Aucune URL enregistrée"
"You can define specific HS code per product in the product attribute 'Product HS Code'. If not, the default code will be used.","Vous pouvez définir un code HS par produit dans l'attribut 'Code HS produit'. Si un code n'est pas défini pour un produit, ce code par défaut sera utilisé."
"Product HS Code","Code HS produit"
"Cannot find order %s","Impossible de trouver la commande %s"
"Shipping fees based on","Frais de livraison basé sur"
"Do you want to base your shipping fees on cart weight (default) or on cart price?","Voulez-vous baser les frais de livraison sur le poids du panier (par défaut) ou sur le prix du panier?"
"Cart weight","Poids du panier"
"Cart price","Prix du panier"
"Colissimo Flash without signature","Colissimo Flash sans signature"
"Colissimo Flash with signature","Colissimo Flash avec signature"
"Enable the Colissimo Flash without signature mode","Activer la méthode Colissimo Flash sans signature"
"Enable the Colissimo Flash with signature mode","Activer la méthode Colissimo Flash avec signature"
"The Colissimo Flash method (J+1) will not be available past this hour.","La méthode Colissimo Flash (J+1) ne sera pas disponible après cet horaire."
"Colissimo Flash Maximum hour","Colissimo Flash Heure maximum"
"Maximum weight / price","Poids / prix maximum"
"Do you want to limit the weight or price you can ship with this method? Use 0 or leave empty to disable the check.","Voulez-vous limiter le poids / prix autorisé pour ce mode de livraison? Utilisez 0 ou laissez vide pour désactiver la vérification."
"Colissimo In-Transit","Colissimo En Transit"
"Colissimo Delivered","Colissimo Livré"
"Colissimo Anomaly","Colissimo Anomalie"
"Colissimo Ready to ship","Colissimo Prêt à être expédié"
"Download shipment related informations","Télécharger les étiquettes de livraison"
"Print shipment related informations","Imprimer les étiquettes de livraison"
